Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,19A,25/01/2014,81,8,0,1.02431447307893
Cf,A,12,19A,28/01/2014,84,8,0,1.02343600346019
Cf,A,12,19A,31/01/2014,87,8,0,1.02261879521172
Cf,A,12,19B,04/11/2013,0,1,0,0
Cf,A,12,19B,07/11/2013,3,1,0,0
Cf,A,12,19B,10/11/2013,6,1,0,0
Cf,A,12,19B,13/11/2013,9,1,0,0
Cf,A,12,19B,16/11/2013,12,1,0,0
Cf,A,12,19B,19/11/2013,15,1,0,0
Cf,A,12,19B,22/11/2013,18,1,0,0
Cf,A,12,19B,25/11/2013,21,4,1.44224957030741,1.05370747209307
Cf,A,12,19B,28/11/2013,24,4,0,1.04683938172732
Cf,A,12,19B,01/12/2013,27,5,1,1.05268520263896
Cf,A,12,19B,04/12/2013,30,5,0,1.04729412282063
Cf,A,12,19B,07/12/2013,33,5,0,1.0429037814464
Cf,A,12,19B,10/12/2013,36,5,0,1.03925922603184
Cf,A,12,19B,13/12/2013,39,7,1.25992104989487,1.04701425877614
Cf,A,12,19B,16/12/2013,42,7,0,1.04358399699998
Cf,A,12,19B,19/12/2013,45,7,0,1.04062019534899
Cf,A,12,19B,22/12/2013,48,7,0,1.03803377450757
Cf,A,12,19B,25/12/2013,51,7,0,1.03575697749521
Cf,A,12,19B,28/12/2013,54,7,0,1.03373735065327
Cf,A,12,19B,31/12/2013,57,7,0,1.03193365443347
Cf,A,12,19B,03/01/2014,60,7,0,1.03031301880014
Cf,A,12,19B,07/01/2014,63,7,0,1.02884892265508
Cf,A,12,19B,10/01/2014,66,7,0,1.02751973163942
Cf,A,12,19B,13/01/2014,69,7,0,1.02630762222499
Cf,A,12,19B,16/01/2014,72,7,0,1.02519777806179
Cf,A,12,19B,19/01/2014,75,9,1.25992104989487,1.02811382665607
Cf,A,12,19B,22/01/2014,78,9,0,1.02701805070877
Cf,A,12,19B,25/01/2014,81,9,0,1.02600448470704
Cf,A,12,19B,28/01/2014,84,9,0,1.02506421196587
Cf,A,12,19B,31/01/2014,87,9,0,1.024189560249
Cf,A,12,19C,04/11/2013,0,1,0,0
Cf,A,12,19C,07/11/2013,3,1,0,0
Cf,A,12,19C,10/11/2013,6,1,0,0
Cf,A,12,19C,13/11/2013,9,1,0,0
Cf,A,12,19C,16/11/2013,12,1,0,0
Cf,A,12,19C,19/11/2013,15,1,0,0
Cf,A,12,19C,22/11/2013,18,2,1,1
Cf,A,12,19C,25/11/2013,21,2,0,1
Cf,A,12,19C,28/11/2013,24,2,0,1
Cf,A,12,19C,01/12/2013,27,2,0,1
Cf,A,12,19C,04/12/2013,30,2,0,1
